timestamp,protocol,src_ip,dst_ip,src_port,dst_port,length
2025-04-24 15:09:36.786351,UDP,172.20.6.14,149.248.20.104,3074,44998,277
2025-04-24 15:09:36.799384,UDP,149.248.20.104,172.20.6.14,44998,3074,408
2025-04-24 15:09:36.805420,UDP,172.20.6.14,149.248.20.104,3074,44998,238
2025-04-24 15:09:36.814368,UDP,149.248.20.104,172.20.6.14,44998,3074,530
2025-04-24 15:09:36.823826,UDP,172.20.6.14,149.248.20.104,3074,44998,235
2025-04-24 15:09:36.830151,UDP,172.20.6.14,149.248.20.104,3074,44998,242
2025-04-24 15:09:36.830798,UDP,149.248.20.104,172.20.6.14,44998,3074,460
2025-04-24 15:09:36.836017,UDP,172.20.6.14,149.248.20.104,3074,44998,198
2025-04-24 15:09:36.842498,UDP,172.20.6.14,149.248.20.104,3074,44998,201
2025-04-24 15:09:36.846858,UDP,149.248.20.104,172.20.6.14,44998,3074,466
2025-04-24 15:09:36.848400,UDP,172.20.6.14,149.248.20.104,3074,44998,201
2025-04-24 15:09:36.854545,UDP,172.20.6.14,149.248.20.104,3074,44998,199
2025-04-24 15:09:36.860956,UDP,172.20.6.14,149.248.20.104,3074,44998,201
2025-04-24 15:09:36.861893,UDP,149.248.20.104,172.20.6.14,44998,3074,454
2025-04-24 15:09:36.877940,UDP,149.248.20.104,172.20.6.14,44998,3074,459
2025-04-24 15:09:36.879469,UDP,172.20.6.14,149.248.20.104,3074,44998,228
2025-04-24 15:09:36.895023,UDP,149.248.20.104,172.20.6.14,44998,3074,402
2025-04-24 15:09:36.897906,UDP,172.20.6.14,149.248.20.104,3074,44998,228
2025-04-24 15:09:36.910245,UDP,172.20.6.14,149.248.20.104,3074,44998,277
2025-04-24 15:09:36.911067,UDP,149.248.20.104,172.20.6.14,44998,3074,477
2025-04-24 15:09:36.927316,UDP,149.248.20.104,172.20.6.14,44998,3074,444
2025-04-24 15:09:36.928706,UDP,172.20.6.14,149.248.20.104,3074,44998,277
2025-04-24 15:09:36.934988,UDP,172.20.6.14,149.248.20.104,3074,44998,244
2025-04-24 15:09:36.941022,UDP,172.20.6.14,149.248.20.104,3074,44998,192
2025-04-24 15:09:36.942250,UDP,149.248.20.104,172.20.6.14,44998,3074,468
2025-04-24 15:09:36.947259,UDP,172.20.6.14,149.248.20.104,3074,44998,200
2025-04-24 15:09:36.953327,UDP,172.20.6.14,149.248.20.104,3074,44998,198
2025-04-24 15:09:36.959440,UDP,149.248.20.104,172.20.6.14,44998,3074,387
2025-04-24 15:09:36.959475,UDP,172.20.6.14,149.248.20.104,3074,44998,198
2025-04-24 15:09:36.965801,UDP,172.20.6.14,149.248.20.104,3074,44998,191
2025-04-24 15:09:36.974377,UDP,149.248.20.104,172.20.6.14,44998,3074,468
